fdc_id,food_name,portion_size_grams,"Fatty acids, total saturated, G","Glucose, G","Fructose, G","Energy, KCAL","Fatty acids, total monounsaturated, G","Fiber, total dietary, G","Protein, G","Fatty acids, total polyunsaturated, G","Total lipid (fat), G","Fatty acids, total trans, G","Carbohydrate, by difference, G"
321358,"Hummus, commercial",33.9,2.22,0,0.15,229,6.37,5.4,7.35,7.48,17.1,0.018,14.9
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",411.1666666666667,1.11,0,0,50,0.4,0,3.35,0.058,1.9,0.07,4.91
321360,"Tomatoes, grape, raw",100.85,0,0,0,27,0,2.1,0.83,0,0.63,0,5.51
321611,"Beans, snap, green, canned, regular pack, drained solids",129,0,0.65,0.64,21,0,0,1.04,0,0.39,0,4.11
321900,"Broccoli, raw",76,0.039,0.58,0.82,32,0.011,2.4,2.57,0.017,0.34,0,6.29
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",413.1666666666667,0.568,0,0,43,0.21,0,3.38,0.032,0.95,0.036,5.19
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",413.2,0.049,0,0,34,0.017,0,3.43,0.006,0.08,0,4.89
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",312.625,1.86,0,0,60,0.688,0,3.28,0.108,3.2,0.112,4.67
323121,"Frankfurter, beef, unheated",48.6,11.4,1.17,0,314,12.1,0,11.7,0.954,28,1.59,2.89
323294,"Nuts, almonds, dry roasted, with salt added",135,4.56,0,0,620,34.2,11,20.4,14.5,57.8,0.032,16.2
323444,"Cheese, ricotta, whole milk",150.53333333333333,6.97,0,0,157,2.56,0,7.81,0.389,11,0.351,6.86
323505,"Kale, raw",20.6,0,0.4,0.4,35,0,4.1,2.92,0,1.49,0,4.42
323604,"Egg, whole, raw, frozen, pasteurized",28.4,0,0,0,150,0,0,12.3,0,10.3,0,0.91
323697,"Egg, white, raw, frozen, pasteurized",28.4,0,0,0,48,0,0,10.1,0,0.16,0,0.74
323793,"Egg, white, dried",57,0,0,0,376,0,0,79.9,0,0.65,0,6.02
324038,"Sauce, salsa, ready-to-serve",35.7,0,1.63,1.98,29,0,1.8,1.44,0,0.19,0,6.74
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",18.6,11.3,1,0,328,12.7,0,13.3,1.91,28.7,1.18,3.37
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",20.2,2.15,1.2,1.21,288,2.87,2.4,4.52,7.58,14.4,0.041,36.3
324653,"Pickles, cucumber, dill or kosher dill",40.4,0,0.63,0.65,12,0,1,0.48,0,0.43,0,1.99
324860,"Peanut butter, smooth style, with salt",145,10.1,0.14,0.13,597,25.4,4.8,22.5,12.3,51.1,0.06,22.3
325036,"Cheese, parmesan, grated",7.6,15.5,0,0,421,6.4,0,29.6,1.2,28,0.896,12.4
325198,"Cheese, pasteurized process, American, vitamin D fortified",20.6,18.1,0,0,366,7.3,0,18,1.09,30.6,1.15,5.27
325287,"Grapefruit juice, white, canned or bottled, unsweetened",257,0,3.22,3.32,37,0,0.2,0.55,0,0.7,0,7.59
325430,"Peaches, yellow, raw",167.83333333333334,0,1.95,1.53,42,0,1.5,0.91,0,0.27,0,10.1
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",127,5.36,0,0,612,33.4,10.3,21,13,56.1,0.297,17.1
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",86.6,9.15,1.46,0,322,11.6,0,18.2,4.96,26.2,0.1,2.15
325871,"Bread, white, commercially prepared",27.3,0.821,1.44,2.28,270,0.717,2.3,9.43,1.87,3.59,0.035,49.2
325992,"Sausage, turkey, breakfast links, mild, raw",238.95,2.53,0,0,169,3.07,0,16.7,3.15,10.4,0.104,0.93
326135,"Cheese, swiss",16.4,18.2,0,0,393,7.26,0,27,1.14,31,0.993,1.44
326196,"Kale, frozen, cooked, boiled, drained, without salt",118,0,0.54,0.42,36,0,0,2.94,0,1.21,0,5.3
326698,"Mustard, prepared, yellow",127.5,0.252,0.48,0.23,61,2.59,4.3,4.25,0.903,3.38,0.01,5.3
